Region,Bali,Banten,Bekasi,Bogor Depok,Jawa Barat,Jawa Tengah,Jawa Timur,JKT - ARBI,JKT - RESI,Kalimantan Selatan,Lampung,Riau,Sulawesi Selatan,Sumatra Selatan,Sumatra Utara,Grand Total
Jan-26,"1,753","1,215","1,773",992,"1,178",355,"1,215",759,598,144,87,155,271,"1,223","1,777","13,495"
Feb-26,"1,636","1,215","1,544",993,"1,086",394,"1,206",735,507,206,85,148,295,"1,112","1,496","12,658"
Mar-26,"1,660","1,191","1,564","1,077","1,144",473,"1,305",700,640,241,97,190,339,"1,144","1,704","13,469"
Apr-26,"1,838","1,192","1,507","1,101","1,304",496,"1,224",785,612,191,109,228,334,"1,206","1,954","14,081"
May-26,,,,,,,,,,,,,,,,
Jun-26,,,,,,,,,,,,,,,,
