Region,Bali,Banten,Bekasi,Bogor Depok,Jawa Barat,Jawa Tengah,Jawa Timur,JKT - ARBI,JKT - RESI,Kalimantan Selatan,Lampung,Riau,Sulawesi Selatan,Sumatra Selatan,Sumatra Utara,Grand Total
Jan-2026," 78,121 "," 40,011 "," 36,375 "," 34,714 "," 41,712 "," 15,276 "," 44,204 "," 20,533 "," 19,541 "," 6,786 "," 2,719 "," 4,218 "," 9,788 "," 47,156 "," 58,265 "," 459,419 "
Feb-2026," 78,545 "," 40,436 "," 36,715 "," 35,138 "," 42,305 "," 16,074 "," 45,188 "," 20,442 "," 19,679 "," 7,023 "," 2,939 "," 4,645 "," 10,195 "," 47,956 "," 60,339 "," 467,619 "
Mar-2026," 78,943 "," 40,678 "," 36,839 "," 35,353 "," 42,621 "," 16,660 "," 45,687 "," 20,408 "," 19,684 "," 7,289 "," 3,151 "," 4,868 "," 10,446 "," 48,626 "," 61,692 "," 472,945 "
Apr-2026," 79,326 "," 41,423 "," 37,255 "," 35,810 "," 43,008 "," 17,635 "," 46,891 "," 20,427 "," 19,856 "," 7,622 "," 3,411 "," 5,315 "," 10,864 "," 49,450 "," 63,339 "," 481,632 "
May-2026,,,,,,,,,,,,,,,,
Jun-2026,,,,,,,,,,,,,,,,
