Region, Bali , Banten , Bekasi , Bogor Depok , Jawa Barat , Jawa Tengah , Jawa Timur , JKT - ARBI , JKT - RESI , Kalimantan Selatan , Lampung , Riau , Sulawesi Selatan , Sumatra Selatan , Sumatra Utara , Grand Total 
Jan-2026, 877 , 457 , 868 , 441 , 504 , 174 , 506 , 276 , 213 , 67 , 49 , 77 , 156 , 616 , 864 ," 6,145 "
Feb-2026, 843 , 488 , 748 , 472 , 500 , 165 , 526 , 226 , 255 , 95 , 63 , 104 , 186 , 558 , 814 ," 6,043 "
Mar-2026, 802 , 514 , 725 , 481 , 509 , 200 , 525 , 243 , 227 , 108 , 53 , 100 , 177 , 590 , 835 ," 6,089 "
Apr-2026," 1,120 ", 581 , 857 , 569 , 640 , 241 , 619 , 334 , 289 , 109 , 77 , 134 , 216 , 739 ," 1,301 "," 7,826 "
May-2026, 889 , 472 , 657 , 512 , 496 , 214 , 471 , 203 , 246 , 72 , 56 , 117 , 180 , 600 ," 1,148 "," 6,333 "
Jun-2026, 935 , 559 , 928 , 643 , 657 , 236 , 647 , 242 , 280 , 95 , 76 , 143 , 163 , 739 ," 1,276 "," 7,619 "
